,Team,SampleSize,Profit
3,SFN,0,NA
4,SDN,0,NA
8,MIL,0,NA
9,LAN,0,NA
10,HOU,0,NA
11,FLO,0,NA
16,ARI,0,NA
17,TOR,0,NA
19,TBA,0,NA
21,OAK,0,NA
30,ANA,0,NA
12,COL,18,8.878754579
23,MIN,15,1.795502646
25,DET,24,1.779304029
7,NYN,10,1.429202279
29,BAL,1,1.2
14,CHN,34,1.02956858
22,NYA,11,0.423992674
28,BOS,18,-0.288095238
6,PHI,4,-0.430769231
24,KCA,5,-0.65
15,ATL,1,-1
2,SLN,5,-1.461538462
26,CLE,19,-1.646906797
1,WAS,4,-1.85
18,TEX,2,-2
20,SEA,7,-3
13,CIN,8,-3.897619048
27,CHA,17,-4.959157509
5,PIT,9,-9
