,Team,SampleSize,Profit,ProfitPerGame,,0.050299931
3,SFN,0,NA,#VALUE!,,
19,TBA,0,NA,#VALUE!,,
12,COL,86,47.54108669,0.552803334,,
10,HOU,18,8.026923077,0.445940171,,
14,CHN,41,14.39110704,0.351002611,,
28,BOS,42,14.2459707,0.339189778,,
18,TEX,195,44.66599512,0.229056385,,
8,MIL,55,8.256389906,0.15011618,,
25,DET,61,9.069194139,0.148675314,,
5,PIT,80,8.348616199,0.104357702,,
27,CHA,55,5.293854294,0.096251896,,
7,NYN,55,2.665667623,0.048466684,,
11,FLO,60,2.288827839,0.038147131,,
23,MIN,68,1.738799349,0.025570579,,
1,WAS,103,2.043577534,0.019840559,,
29,BAL,103,2.006308506,0.019478723,,
22,NYA,63,0.362718763,0.005757441,,
6,PHI,87,-2.57032967,-0.029544019,,
2,SLN,120,-5.134310134,-0.042785918,,
30,ANA,42,-2.661778592,-0.063375681,,
15,ATL,136,-8.973793244,-0.065983774,,
16,ARI,91,-9.386202686,-0.103145084,,
13,CIN,108,-11.64420201,-0.107816685,,
20,SEA,4,-0.461538462,-0.115384615,,
4,SDN,2,-0.230769231,-0.115384615,,
21,OAK,7,-0.830769231,-0.118681319,,
24,KCA,121,-16.4894401,-0.136276364,,
9,LAN,38,-5.537545788,-0.145724889,,
17,TOR,5,-1,-0.2,,
26,CLE,48,-15.6040293,-0.325083944,,
