,Team,SampleSize,Profit,ProfitPerGame,,-0.073808447
12,COL,73,30.96872268,0.424229078,,
22,NYA,88,23.12725275,0.26280969,,
28,BOS,93,15.12596663,0.162644802,,
18,TEX,36,4.264835165,0.118467643,,
4,SDN,96,10.76699227,0.112156169,,
6,PHI,90,8.291066341,0.092122959,,
17,TOR,80,7.268396418,0.090854955,,
1,WAS,82,2.458058608,0.029976324,,
27,CHA,77,1.965811966,0.025530026,,
10,HOU,220,2.650541819,0.012047917,,
26,CLE,100,-1.223764754,-0.012237648,,
3,SFN,15,-0.678388278,-0.045225885,,
11,FLO,18,-0.954395604,-0.053021978,,
21,OAK,43,-2.793528694,-0.064965784,,
29,BAL,89,-6.767700365,-0.076041577,,
2,SLN,84,-7.922446072,-0.094314834,,
20,SEA,52,-4.91998372,-0.094615072,,
8,MIL,117,-11.28160358,-0.096423962,,
30,ANA,121,-12.52509886,-0.103513214,,
5,PIT,103,-10.68408628,-0.103728993,,
7,NYN,96,-11.05204648,-0.115125484,,
25,DET,79,-9.821168024,-0.124318583,,
16,ARI,151,-22.25299145,-0.147370804,,
9,LAN,124,-18.34430199,-0.147937919,,
14,CHN,86,-16.49643875,-0.191819055,,
13,CIN,66,-13.83435083,-0.209611376,,
15,ATL,81,-17.66009018,-0.218025805,,
19,TBA,247,-60.34932845,-0.244329265,,
23,MIN,94,-28.01723647,-0.298055707,,
24,KCA,64,-22.42032967,-0.350317651,,
